#;scans;Technique_of_Medical_Image;Plane;body_part;modality_label_rm;Secuence_label;calidad;modality_label_rx;modality_label_ct;modality_label_nm;modality_label_us;modality_label_light;modality_label_elec;modality_label_oph;Columna2;Contrast
5;COL2DPCaxsinus;MRI;ax;;;;;;;;;;;;;
5;AXT1IR;MRI;ax;;T1w;;;;;;;;;;;
5;CORT2HASTE;MRI;cor;;T2w;haste;;;;;;;;;;
5;CORINFSORBITASC;MRI;cor;;;;;;;;;;;;;
5;CORT1FSAT;MRI;cor;;T1w;;;;;;;;;;;
5;Vascularvenoso;MRI;;;;;;;;;;;;;;
5;VASCSENOS_MIP_TRA;MRI;ax;;;;;;;;;;;;;
5;VTOFSENSE;MRI;;;;;;;;;;;;;;
5;LOCSAGT1TSE;MRI;sag;;T1w;tse;;;;;;;;;;
5;AXDIFUSION_b50_400_800_p2_TRACEW;MRI;ax;;dwi;;;;;;;;;;;
5;flash_6_inplane_MAG;MRI;;;;flash;;;;;;;;;;
5;PILOTODORSAL;MRI;;;;;;;;;;;;;;
5;CORONALT2ALTARESOL;MRI;cor;;T2w;tse;;;;;;;;;;
5;AXIALINFSGD;MRI;ax;;;;;;;;;;;;;
5;AxDWIAll;MRI;ax;;dwi;;;;;;;;;;;
5;AXDIFUSION_b50_400_800_p2_ADC;MRI;ax;;dwi;;;;;;;;;;;
5;SagT1CERVICALGD;MRI;sag;;T1w;;;;;;;;;;;
5;SagT2CERVICALGD;MRI;sag;;T2w;tse;;;;;;;;;;
5;LOC3PDORSAL;MRI;3pl;;;;;;;;;;;;;
5;eeT2W_TSESENSE;MRI;;;T2w;tse;;;;;;;;;;
5;ax2DPC;MRI;ax;;;;;;;;;;;;;
5;AX2DGRET2;MRI;ax;;T2w;gre;;;;;;;;;;
5;flash_6_inplane_P;MRI;;;;flash;;;;;;;;;;
5;COR_FLAIR__ONCOLOGICOS_;MRI;cor;;;;;;;;;;;;;
5;IMPAXVolumeViewing;MRI;ax;;;;;;;;;;;;;
5;SAGINFSCERVICAL;MRI;sag;;;;;;;;;;;;;
5;T1SEGD;MRI;;;T1w;;;;;;;;;;;
5;PUAxDWITetra;MRI;ax;;dwi;;;;;;;;;;;
5;MIP_COR;MRI;cor;;;;;;;;;;;;;
5;SagT1FSECERVICAL;MRI;sag;;T1w;;;;;;;;;;;
5;CORT2FRFSE;MRI;cor;;T2w;tse;;;;;;;;;;
5;T1GDTRACLEAR;MRI;ax;;T1w;;;;;;;;;;;
5;coronalT23mm;MRI;cor;;T2w;tse;;;;;;;;;;
5;T1W_SE_TE15;MRI;;;T1w;;;;;;;;;;;
5;VASCSENOS;MRI;;;;;;;;;;;;;;
5;VASCSENOS_MIP_COR;MRI;cor;;;;;;;;;;;;;
5;AXIALINFATSATGADO;MRI;ax;;;;;;;;;;;;;GD
5;Ax3DDualEchoinoutofphasehacersiempre;MRI;ax;;;;3D;;;;;;;;;
5;FLUJOGRADIENTEAXIAL10_MAG;MRI;ax;;;;;;;;;;;;;
5;SSFSESAGITAL;MRI;sag;;;;;;;;;;;;;
5;SAGITALT1FSHIPO;MRI;sag;;T1w;;;;;;;;;;;
5;Vasculararterial;MRI;;;;;;;;;;;;;;
5;CORONALINFATSATGADO;MRI;cor;;;;;;;;;;;;;GD
5;cor3dt2cube;MRI;cor;;T2w;tse;3D;;;;;;;;;
5;AXIALFLAIRT2;MRI;ax;;T2w;tse;;;;;;;;;;
5;SAGT1FSELUMBAR;MRI;sag;;T1w;;;;;;;;;;;
5;ax3dcervical;MRI;ax;;;;3D;;;;;;;;;
5;SAGT1LUMBAR;MRI;sag;;T1w;;;;;;;;;;;
5;VASCANEURISMAAXIAL3D;MRI;ax;;;;3D;;;;;;;;;
5;FLUJOGRADIENTEAXIAL10_P;MRI;ax;;;;;;;;;;;;;
5;T1TSECOR;MRI;cor;;T1w;tse;;;;;;;;;;
5;DIFFUSIONB3000;MRI;;;dwi;;;;;;;;;;;
5;AXDP;MRI;ax;;;;;;;;;;;;;
5;AxDWITETRA;MRI;ax;;dwi;;;;;;;;;;;
5;SagT1fsFSE;MRI;sag;;T1w;;;;;;;;;;;
5;t2_blade_fs_tra_p2_mbh;MRI;ax;;T2w;tse;;;;;;;;;;
5;3PLANELOCALIZER;MRI;3pl;;;;;;;;;;;;;
5;T1postGD;MRI;;;T1w;;;;;;;;;;;
5;t1_SAGVIBE_3D;MRI;sag;;T1w;;3D;;;;;;;;;
4;SagT1FSELUMBARGD;MRI;sag;;T1w;;;;;;;;;;;
4;SagCubeFLAIRfatsat;MRI;sag;;;;;;;;;;;;;
4;corT1;MRI;cor;;T1w;;;;;;;;;;;
4;t1_vibe_fs_AXIALGD;MRI;ax;;T1w;;;;;;;;;;;
4;AXIT1INFSGD;MRI;ax;;T1w;;;;;;;;;;;
4;CORONALCEREBRAL;MRI;cor;;;;;;;;;;;;;
4;SAGITAL_3D_VENOSO_TT_1_0s_SUB;MRI;sag;;;;3D;;;;;;;;;
4;smFFECLEAR;MRI;;;;;;;;;;;;;;
4;DIF1000;MRI;;;dwi;;;;;;;;;;;
4;SAGITALT1FSHIPOGD;MRI;sag;;T1w;;;;;;;;;;;
4;PCDIRFLUJOAXIALKING_P;MRI;ax;;;;;;;;;;;;;
4;MR1-AXIAL3DT1FSPGR8C5CM;MRI;ax;;T1w;;3D;;;;;;;;;
4;AxPROBESVPRESS35TE;MRI;ax;;;;;;;;;;;;;
4;AXIALT1BLOQUE;MRI;ax;;T1w;;;;;;;;;;;
4;SSFSECOR;MRI;cor;;;;;;;;;;;;;
4;SAGT1isotropico;MRI;sag;;T1w;;;;;;;;;;;
4;Ph10CorDynamicSella;MRI;cor;;;;;;;;;;;;;
4;flash_10_throughplane;MRI;;;;flash;;;;;;;;;;
4;flash_15_throughplane;MRI;;;;flash;;;;;;;;;;
4;T1W_SE_;MRI;;;T1w;;;;;;;;;;;
4;SagT1FSEdorsal;MRI;sag;;T1w;;;;;;;;;;;
4;CORT2ARHIPOFISIS;MRI;cor;;T2w;tse;;;;;;;;;;
4;AXT2BLOQUEDORSAL;MRI;ax;;T2w;tse;;;;;;;;;;
4;T2W_TSEHIPOCAMPOS;MRI;;;T2w;tse;;;;;;;;;;
4;AXIALT2DISCBASICO;MRI;ax;;T2w;tse;;;;;;;;;;
4;eT2W_FFESENSE;MRI;;;T2w;tse;;;;;;;;;;
4;SAGT1dorsallumbar;MRI;sag;;T1w;;;;;;;;;;;
4;SagT1C;MRI;sag;;T1w;;;;;;;;;;;
4;AXIALGRT2globoocular;MRI;ax;;T2w;gre;;;;;;;;;;
4;VASCAXIALANEURIS2FASE;MRI;ax;;;;;;;;;;;;;
4;COR_FLAIR;MRI;cor;;;;;;;;;;;;;
4;SAGITALVOLUMETRICOT1PAT;MRI;sag;;T1w;;;;;;;;;;;
4;AXIALT1FSORBITAS;MRI;ax;;T1w;;;;;;;;;;;
4;eT2W_FLAIRCLEAR;MRI;;;T2w;tse;;;;;;;;;;
4;SAGFLAIRT2CONTRASTE;MRI;sag;;T2w;tse;;;;;;;;;;
4;EPIDIFUCERVICAL_ADC;MRI;;;dwi;;;;;;;;;;;
4;AXIALSSFSET2;MRI;ax;;T2w;tse;;;;;;;;;;
4;MR2-AXIAL3DT1FSPGR8C5CM;MRI;ax;;T1w;;3D;;;;;;;;;
4;ax3dt1cte;MRI;ax;;T1w;;3D;;;;;;;;;
4;PosDisp4SAGITALT2CERV;MRI;sag;;T2w;tse;;;;;;;;;;
4;TRATSET2;MRI;ax;;T2w;tse;;;;;;;;;;
4;CORT1hguv;MRI;cor;;T1w;;;;;;;;;;;
4;AXIALT1VIBEFS_p2GD;MRI;ax;;T1w;;;;;;;;;;;
4;MR1-CORONALFLAIRT2;MRI;cor;;T2w;tse;;;;;;;;;;
4;PROBESV35SG;MRI;;;;;;;;;;;;;;
4;T2W_TSE_DRIVE_HR;MRI;;;T2w;tse;;;;;;;;;;
4;PosDisp12AXIALT2ME2DIPATCERVII;MRI;ax;;T2w;tse;;;;;;;;;;
4;AXDWI3000bASSET;MRI;ax;;dwi;;;;;;;;;;;
4;AX2DFIESTA;MRI;ax;;;;;;;;;;;;;
4;AxENFASEFORAFASE;MRI;ax;;;;;;;;;;;;;
4;SagT1FSECORFINO;MRI;sag;;T1w;;;;;;;;;;;
4;AxT1PERFUSIONGD;MRI;ax;;pwi;;;;;;;;;;;
4;EPIDIFUCERVICAL;MRI;;;dwi;;;;;;;;;;;
4;GADOTRA;MRI;ax;;;;;;;;;;;;;GD
4;SAGT1FATSATGD;MRI;sag;;T1w;;;;;;;;;;;
4;VASCAXIALANEUALOS30seg;MRI;ax;;;;;;;;;;;;;
4;FIESTA;MRI;;;;;;;;;;;;;;
4;PCCORONAL_MAG_MAG;MRI;cor;;;;;;;;;;;;;
4;CORFL2DT1FATSAT_P;MRI;cor;;T1w;;;;;;;;;;;
4;axT1;MRI;ax;;T1w;;;;;;;;;;;
4;POST;MRI;;;;;;;;;;;;;;
4;DIFPRUEBA;MRI;;;dwi;;;;;;;;;;;
4;ax3dt2cube;MRI;ax;;T2w;tse;3D;;;;;;;;;
4;CORT2CAIS;MRI;cor;;T2w;tse;;;;;;;;;;
4;MR2-loc;MRI;;;;;;;;;;;;;;
4;T1W_SEGD;MRI;;;T1w;;;;;;;;;;;
4;AXCINE;MRI;ax;;;;;;;;;;;;;
4;AxIN;MRI;ax;;;;;;;;;;;;;
4;CORONALSTIR;MRI;cor;;;stir;;;;;;;;;;
4;coronalSTIR;MRI;cor;;;stir;;;;;;;;;;
4;GDT1SETRA;MRI;ax;;T1w;;;;;;;;;;;
4;ANGIOVENOSATRA;MRI;ax;;angio;;;;;;;;;;;
4;SAG3DT1;MRI;sag;;T1w;;3D;;;;;;;;;
4;SAGT1IZQ;MRI;sag;;T1w;;;;;;;;;;;
4;AxPD;MRI;ax;;PD;;;;;;;;;;;
4;AXIALT2bloque;MRI;ax;;T2w;tse;;;;;;;;;;
4;T1preGD;MRI;;;T1w;;;;;;;;;;;
4;OPCAXIALT2BLOQUE;MRI;ax;;T2w;tse;;;;;;;;;;
4;VWIPsT1W_3D_TFESENSE;MRI;;;T1w;;3D;;;;;;;;;
4;T1TSESPIRCTE;MRI;;;T1w;tse;;;;;;;;;;
4;sagT1;MRI;sag;;T1w;;;;;;;;;;;
4;AXIALVIBEFSDINAMICO_SUB;MRI;ax;;;;;;;;;;;;;
4;MultiPlanarReconstructionMPROb_Ax_SI_Average_sp12_th;MRI;ax;;;;;;;;;;;;;
4;MR1-LOCCEREBRAL;MRI;;;;;;;;;;;;;;
4;AXIT2FRFSE44C;MRI;ax;;T2w;tse;;;;;;;;;;
4;CorT1FSEC;MRI;cor;;T1w;;;;;;;;;;;
4;corT1MEMP;MRI;cor;;T1w;;;;;;;;;;;
4;cor3dcerebral;MRI;cor;;;;3D;;;;;;;;;
4;MR2-SagT1;MRI;sag;;T1w;;;;;;;;;;;
4;ESPECTROSVTE35;MRI;;;;;;;;;;;;;;
4;AXIGRET1FATSAT;MRI;ax;;T1w;;;;;;;;;;;
4;SAVEDIMAGES;MRI;;;;;;;;;;;;;;
4;corflaircube;MRI;cor;;;;;;;;;;;;;
4;PROBESV136;MRI;;;;;;;;;;;;;;
4;AXIALINFSgd;MRI;ax;;;;;;;;;;;;;
4;SAGITALSTIRFSE;MRI;sag;;;stir;;;;;;;;;;
4;AverageDC;MRI;;;;;;;;;;;;;;
4;SAGFSET1FS;MRI;sag;;T1w;;;;;;;;;;;
4;AxT2Fs;MRI;ax;;T2w;tse;;;;;;;;;;
4;3DSAGVENOSOSENSE;MRI;sag;;;;3D;;;;;;;;;
4;SagT1cervicalm;MRI;sag;;T1w;;;;;;;;;;;
4;AxDWI1000b;MRI;ax;;dwi;;;;;;;;;;;
4;SAGFLAIRT2;MRI;sag;;T2w;tse;;;;;;;;;;
4;PROBESV32;MRI;;;;;;;;;;;;;;
4;PC_DIR_FLUJO_AXIAL__KING_;MRI;ax;;;;;;;;;;;;;
4;CORT1FSAR;MRI;cor;;T1w;;;;;;;;;;;
4;ax3dcerebralcte;MRI;ax;;;;3D;;;;;;;;;
4;SAGITALT1gdTSEDORS;MRI;sag;;T1w;tse;;;;;;;;;;
4;AXIALT1FSGAD;MRI;ax;;T1w;;;;;;;;;;;
4;AXIAL3DT1FSPGR;MRI;ax;;T1w;;3D;;;;;;;;;
4;CORT1FSGD;MRI;cor;;T1w;;;;;;;;;;;
4;AxT2FRFSEFatSAT;MRI;ax;;T2w;tse;;;;;;;;;;
4;flash_10_throughplane_MAG;MRI;;;;flash;;;;;;;;;;
4;flash_15_throughplane_MAG;MRI;;;;flash;;;;;;;;;;
4;AXGRT2;MRI;ax;;T2w;gre;;;;;;;;;;
4;AXFSEDP;MRI;ax;;;;;;;;;;;;;
4;axflaircube;MRI;ax;;;;;;;;;;;;;
4;MULTIVOXEL;MRI;;;;;;;;;;;;;;
4;SAGITAL_T1_GD;MRI;sag;;T1w;;;;;;;;;;;
4;3DFIESTAAXIAL;MRI;ax;;;;3D;;;;;;;;;
4;AxT1C;MRI;ax;;T1w;;;;;;;;;;;
4;axt2cube;MRI;ax;;T2w;tse;;;;;;;;;;
4;CorT2FSECORFINO;MRI;cor;;T2w;tse;;;;;;;;;;
4;MR1-AAHead_Scout_MPR_sag;MRI;sag;;;;;;;;;;;;;
4;T240CORTES;MRI;cor;;T2w;tse;;;;;;;;;;
4;Ph7CorDynamicSella;MRI;cor;;;;;;;;;;;;;
4;AX3DT1dorsalcte;MRI;ax;;T1w;;3D;;;;;;;;;
4;CORONALT1FSCAISGD;MRI;cor;;T1w;;;;;;;;;;;
4;AxFSPGR3D;MRI;ax;;;;3D;;;;;;;;;
4;flash_15_throughplane_P;MRI;;;;flash;;;;;;;;;;
4;flash_10_throughplane_P;MRI;;;;flash;;;;;;;;;;
4;SAGHASTET2DORSAL;MRI;sag;;T2w;haste;;;;;;;;;;
4;AXIALINFSORBITASC;MRI;ax;;;;;;;;;;;;;
4;AXT2BLOQUE;MRI;ax;;T2w;tse;;;;;;;;;;
4;SagT1FSEC;MRI;sag;;T1w;;;;;;;;;;;
4;DIFUSIONB1000CORONAL;MRI;cor;;dwi;;;;;;;;;;;
4;AXIT1;MRI;ax;;T1w;;;;;;;;;;;
4;SAGINCERVICAL;MRI;sag;;;;;;;;;;;;;
4;CORONALT1_3mmGD;MRI;cor;;T1w;;;;;;;;;;;
4;THRIVETARDIO;MRI;;;;;;;;;;;;;;
4;COTT2;MRI;;;T2w;tse;;;;;;;;;;
4;SAGT1W_TSE;MRI;sag;;T1w;tse;;;;;;;;;;
4;sagt13d;MRI;sag;;T1w;;3D;;;;;;;;;
4;PosDisp13AXIALT2ME2DIPAT;MRI;ax;;T2w;tse;;;;;;;;;;
4;STIRCOR;MRI;cor;;;stir;;;;;;;;;;
4;SSFSECORMORO;MRI;cor;;;;;;;;;;;;;
4;Ph8CorDynamicSella;MRI;cor;;;;;;;;;;;;;
4;SAGINDORSAL;MRI;sag;;;;;;;;;;;;;
4;AxOUT;MRI;ax;;;;;;;;;;;;;
4;SagT1FSDORSAL;MRI;sag;;T1w;;;;;;;;;;;
4;SAGT1FSGD;MRI;sag;;T1w;;;;;;;;;;;
4;AxiT2FLAIR;MRI;ax;;T2w;tse;;;;;;;;;;
4;SAGSTIR_TSE;MRI;sag;;;stir;;;;;;;;;;
4;3DSENOVENOSO;MRI;;;;;3D;;;;;;;;;
4;AXIAL3DT1FSPGR8C;MRI;ax;;T1w;;3D;;;;;;;;;
4;SAGFSET1cervicalgd;MRI;sag;;T1w;;;;;;;;;;;
4;SAGT1fsCERVICAL;MRI;sag;;T1w;;;;;;;;;;;
4;AxDWIB800BH;MRI;ax;;dwi;;;;;;;;;;;
4;COR3DT1FSPGR8C5CM;MRI;cor;;T1w;;3D;;;;;;;;;
4;_MIP_Rango_1__;MRI;;;;;;;;;;;;;;
4;AXINOUT;MRI;ax;;;;;;;;;;;;;
4;MR2-AXIALT2;MRI;ax;;T2w;tse;;;;;;;;;;
4;VASCANEURISMA;MRI;;;;;;;;;;;;;;
4;t1_tse_cor_dynamic;MRI;cor;;T1w;tse;;;;;;;;;;
4;AXI3DFIESTAC;MRI;ax;;;;3D;;;;;;;;;
4;OSagT2frFSESCIC;MRI;sag;;T2w;tse;;;;;;;;;;
4;CORT2DETCOGNITIVO;MRI;cor;;T2w;tse;;;;;;;;;;
4;Ph9CorDynamicSella;MRI;cor;;;;;;;;;;;;;
4;MultiPlanarReconstructionMPROb_Cor_AP_Average_sp098_t;MRI;cor;;;;;;;;;;;;;
4;CORONALT2DETCOGNITIVO;MRI;cor;;T2w;tse;;;;;;;;;;
4;CORONALT2FLAIRlobulostemporales;MRI;cor;;T2w;tse;;;;;;;;;;
4;VASCAXANEURISMAVEN;MRI;ax;;;;;;;;;;;;;
4;T2TSE;MRI;;;T2w;tse;;;;;;;;;;
4;mFFE;MRI;;;;;;;;;;;;;;
4;SAGT2CERVICODORSAL;MRI;sag;;T2w;tse;;;;;;;;;;
4;VASCAXIALANEURIMASCARA;MRI;ax;;;;;;;;;;;;;
4;SAGT1DORSAL;MRI;sag;;T1w;;;;;;;;;;;
4;CORt2_ci3d_COR;MRI;cor;;T2w;tse;3D;;;;;;;;;
4;3DSAGSENOSVENOSOS;MRI;sag;;;;3D;;;;;;;;;
4;AXIALINOUT;MRI;ax;;;;;;;;;;;;;
4;SAGGDT1;MRI;sag;;T1w;;;;;;;;;;;
4;cor3dt1cte;MRI;cor;;T1w;;3D;;;;;;;;;
4;V3D_Brain_VIEW_FLAIR_TraSENSE;MRI;ax;;;;3D;;;;;;;;;
3;AXIALT2DORS;MRI;ax;;T2w;tse;;;;;;;;;;
3;CORONALT2ARCAIS;MRI;cor;;T2w;tse;;;;;;;;;;
3;SagT1FSCTE;MRI;sag;;T1w;;;;;;;;;;;
3;SAGSTIRDORSOLUMBAR;MRI;sag;;;stir;;;;;;;;;;
3;MIPColeccin;MRI;;;;;;;;;;;;;;
3;AXCINEv10;MRI;ax;;;;;;;;;;;;;
3;SagInHance3DVelocity;MRI;sag;;;;3D;;;;;;;;;
3;Ax3DFSPGRFAMEGADO;MRI;ax;;;;3D;;;;;;;;;GD
3;sb1000;MRI;;;;;;;;;;;;;;
3;SAGT1GD;MRI;sag;;T1w;;;;;;;;;;;
3;eT1W_SE_traCLEAR;MRI;ax;;T1w;;;;;;;;;;;
3;SagT1CER;MRI;sag;;T1w;;;;;;;;;;;
3;eT1W_SECLEAR;MRI;;;T1w;;;;;;;;;;;
3;AXIAL3DVIBEVACIO;MRI;ax;;;;3D;;;;;;;;;
3;Ph1TSAGADOMULTIFASE;MRI;sag;;;;;;;;;;;;;GD
3;CORONALT2HR;MRI;cor;;T2w;tse;;;;;;;;;;
3;AxT1GDPERFUSIN;MRI;ax;;pwi;;;;;;;;;;;
3;SagT2CER;MRI;sag;;T2w;tse;;;;;;;;;;
3;SAGT1IR;MRI;sag;;T1w;;;;;;;;;;;
3;TSAGADOMULTIFASE;MRI;sag;;;;;;;;;;;;;GD
3;SAGSTIRCERVICODORSAL;MRI;sag;;;stir;;;;;;;;;;
3;AXI3DT1FSGD;MRI;ax;;T1w;;3D;;;;;;;;;
3;PROBESI144;MRI;;;;;;;;;;;;;;
3;SAGT23DCUBE;MRI;sag;;T2w;tse;3D;;;;;;;;;
3;AXFSEDPT2;MRI;ax;;T2w;tse;;;;;;;;;;
3;CORONAL_T1_GD;MRI;cor;;T1w;;;;;;;;;;;
3;AXIALT1VIBE_p208ISOTROPICO;MRI;ax;;T1w;;;;;;;;;;;
3;AXIALDP44C;MRI;ax;;;;;;;;;;;;;
3;Ph1AXLAVADINAMICO;MRI;ax;;;;;;;;;;;;;
3;CORT1FSATHIPOFISIS;MRI;cor;;T1w;;;;;;;;;;;
3;SagT2PROP;MRI;sag;;T2w;tse;;;;;;;;;;
3;EPIDIFUSIONB01000_ADC;MRI;;;dwi;;;;;;;;;;;
3;T2_FFE;MRI;;;T2w;tse;;;;;;;;;;
3;AXFastCINEPC15;MRI;ax;;;;;;;;;;;;;
3;coronal__T2_FS_ORBITAS;MRI;cor;;T2w;tse;;;;;;;;;;
3;AXFastCINEPC10;MRI;ax;;;;;;;;;;;;;
3;PosDisp21AXIALT2DISCOSLUMB;MRI;ax;;T2w;tse;;;;;;;;;;
3;SagSTIRCER;MRI;sag;;;stir;;;;;;;;;;
3;CORT2SOBR3ELESION;MRI;cor;;T2w;tse;;;;;;;;;;
3;SAGT2FRFSE2NEX;MRI;sag;;T2w;tse;;;;;;;;;;
3;CORDWI1000b;MRI;cor;;dwi;;;;;;;;;;;
3;sagT2SSFSEBH;MRI;sag;;T2w;tse;;;;;;;;;;
3;AXIALSTIRORBITAS;MRI;ax;;;stir;;;;;;;;;;
3;SAG3DSPGRT1C;MRI;sag;;T1w;;3D;;;;;;;;;
3;AX3DT1NAVEGADORSINGADO;MRI;ax;;T1w;;3D;;;;;;;;;GD
3;Ph2TSAGADOMULTIFASE;MRI;sag;;;;;;;;;;;;;GD
3;FLUJOGRADIENTEAXIAL15_P;MRI;ax;;;;;;;;;;;;;
3;EPIDIFUDORSAL_ADC;MRI;;;dwi;;;;;;;;;;;
3;AXDP40CORTES2NEX;MRI;ax;;;;;;;;;;;;;
3;AXIALGRADCERVICAL;MRI;ax;;;;;;;;;;;;;
3;PosDisp12SAGITALT2CERV;MRI;sag;;T2w;tse;;;;;;;;;;
3;PosDisp7SAGITALT2CERV;MRI;sag;;T2w;tse;;;;;;;;;;
3;PosDisp5SAGITALT2CERV;MRI;sag;;T2w;tse;;;;;;;;;;
3;SAGT1SPGR;MRI;sag;;T1w;;;;;;;;;;;
3;MR1-SAGITALT1SE;MRI;sag;;T1w;;;;;;;;;;;
3;SagT2STIR;MRI;sag;;T2w;stir;;;;;;;;;;
3;AXFAMEGAD;MRI;ax;;;;;;;;;;;;;
3;SAGSSFSE;MRI;sag;;;;;;;;;;;;;
3;SAGT2frfseasset;MRI;sag;;T2w;tse;;;;;;;;;;
3;AXFAMEc;MRI;ax;;;;;;;;;;;;;
3;AXIALT1cervicalcte;MRI;ax;;T1w;;;;;;;;;;;
3;CORONALT1HIPO;MRI;cor;;T1w;;;;;;;;;;;
3;Ph2AXLAVADINAMICO;MRI;ax;;;;;;;;;;;;;
3;AXIALT2FRFSEXL20;MRI;ax;;T2w;tse;;;;;;;;;;
3;sagitalT23mm;MRI;sag;;T2w;tse;;;;;;;;;;
3;PosDisp14AXIALT2ME2DIPATCERVII;MRI;ax;;T2w;tse;;;;;;;;;;
3;PosDisp11AXIALT2ME2DIPATCERVII;MRI;ax;;T2w;tse;;;;;;;;;;
3;CORONAL3DT1OBLICUOEPILEPSIA;MRI;cor;;T1w;;3D;;;;;;;;;
3;SagT1IZQ;MRI;sag;;T1w;;;;;;;;;;;
3;OBLSSMIELO4CORTES;MRI;cor;;;;;;;;;;;;;
3;SagT2FLAIRPROPELLER;MRI;sag;;T2w;tse;;;;;;;;;;
3;AxT2frFSEDORSAL;MRI;ax;;T2w;tse;;;;;;;;;;
3;t1FS_vibe_tra_;MRI;ax;;T1w;;;;;;;;;;;
3;PWILLIS;MRI;;;;;;;;;;;;;;
3;AXIALVIBEFSTARDIO;MRI;ax;;;;;;;;;;;;;
3;CORFRFSET2FS;MRI;cor;;T2w;tse;;;;;;;;;;
3;t1_vibe_dixon_cor_caipi5_bh_288_in;MRI;cor;;T1w;;;;;;;;;;;
3;SAGITALT2ALTARESOLUC;MRI;sag;;T2w;tse;;;;;;;;;;
3;sagMERGE;MRI;sag;;;;;;;;;;;;;
3;CORT1SPGRC;MRI;cor;;T1w;;;;;;;;;;;
3;AXIALSET1;MRI;ax;;T1w;;;;;;;;;;;
3;AXIALT2DORSBLOQUES;MRI;ax;;T2w;tse;;;;;;;;;;
3;CORONALT2_3mm;MRI;cor;;T2w;tse;;;;;;;;;;
3;EPIDIFUDORSAL;MRI;;;dwi;;;;;;;;;;;
3;MPRRango5;MRI;;;;;;;;;;;;;;
3;AXflujo20;MRI;ax;;;;;;;;;;;;;
3;Ph3AXLAVADINAMICO;MRI;ax;;;;;;;;;;;;;
3;T2W_3D_DRIVE;MRI;;;T2w;tse;3D;;;;;;;;;
3;MIPRango3;MRI;;;;;;;;;;;;;;
3;AX3DVIBEGD;MRI;ax;;;;3D;;;;;;;;;GD
3;AxT2;MRI;ax;;T2w;tse;;;;;;;;;;
3;sRESTA;MRI;;;;;;;;;;;;;;
3;AXDOBLEECO;MRI;ax;;;;;;;;;;;;;
3;AXT1FATGD;MRI;ax;;T1w;;;;;;;;;;;GD
3;MR1-axMIP;MRI;ax;;;;;;;;;;;;;
3;MR1-AXIAL;MRI;ax;;;;;;;;;;;;;
3;SAG3DFSPGR;MRI;sag;;;;3D;;;;;;;;;
3;SAGITALT1PARALT;MRI;sag;;T1w;;;;;;;;;;;
3;CORT2frFSEIR;MRI;cor;;T2w;tse;;;;;;;;;;
3;SAG_FLAIR;MRI;sag;;;;;;;;;;;;;
3;AXIALT23DCUBE;MRI;ax;;T2w;tse;3D;;;;;;;;;
3;AXIAL_IN_F_S___CUELLO_GD;MRI;ax;;;;;;;;;;;;;GD
3;FLUJOGRADIENTEAXIAL15;MRI;ax;;;;;;;;;;;;;
3;AXIALSTIRMAXILO;MRI;ax;;;stir;;;;;;;;;;
3;PRESS;MRI;;;;;;;;;;;;;;
3;MOTORMANOS;MRI;;;;;;;;;;;;;;
3;AXCINE10;MRI;ax;;;;;;;;;;;;;
3;AXIALFLAIRCUBE;MRI;ax;;;;;;;;;;;;;
3;SagT1DCHO;MRI;sag;;T1w;;;;;;;;;;;
3;CORT23DCUBE;MRI;cor;;T2w;tse;3D;;;;;;;;;
3;AxT1FSC;MRI;ax;;T1w;;;;;;;;;;;
3;MR2-coronalt1;MRI;cor;;T1w;;;;;;;;;;;
3;coronalINFSgd;MRI;cor;;;;;;;;;;;;;GD
3;VASCAXIALALOS30SEG;MRI;ax;;;;;;;;;;;;;
3;SAGFSET1GD;MRI;sag;;T1w;;;;;;;;;;;GD
3;CORONALSTIRMAXILO;MRI;cor;;;stir;;;;;;;;;;
3;AXLAVADINAMICO;MRI;ax;;;;;;;;;;;;;
3;AXT1SPGRC;MRI;ax;;T1w;;;;;;;;;;;
3;AXGRT2CERVICAL;MRI;ax;;T2w;gre;;;;;;;;;;
3;AXIALFSET2cervical;MRI;ax;;T2w;tse;;;;;;;;;;
3;tDWSSh1000;MRI;;;;;;;;;;;;;;
3;CORONALT1FS;MRI;cor;;T1w;;;;;;;;;;;
3;SAGTRIDT1sag;MRI;sag;;T1w;;;;;;;;;;;
3;t1_vibe_dixon_cor_caipi5_bh_288_W;MRI;cor;;T1w;;;;;;;;;;;
3;SagT1CERV;MRI;sag;;T1w;;;;;;;;;;;
3;CORONALT1HIPOGD;MRI;cor;;T1w;;;;;;;;;;;GD
3;AXIALT2FLAIRasset;MRI;ax;;T2w;tse;;;;;;;;;;
3;T1W_aTSESENSE;MRI;;;T1w;tse;;;;;;;;;;
3;t1_vibe_dixon_cor_caipi5_bh_288_F;MRI;cor;;T1w;;;;;;;;;;;
3;EPIDIFUSIONB01000;MRI;;;dwi;;;;;;;;;;;
3;t1_vibe_dixon_cor_caipi5_bh_288_opp;MRI;cor;;T1w;;;;;;;;;;;
3;SAGITALT1GDTSEDORS;MRI;sag;;T1w;tse;;;;;;;;;;GD
3;SagT1DCHOFSATCTE;MRI;sag;;T1w;;;;;;;;;;;
3;SagT1FSEFSATCTE;MRI;sag;;T1w;;;;;;;;;;;
3;AxGREDP;MRI;ax;;;;;;;;;;;;;
3;LOC3PSSFSE;MRI;3pl;;;;;;;;;;;;;
